"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEMED_EFFECT_ANTISEPSIS","SEPSIS","SEPSIS","SEPSE","SEPSIS","СЕПСИСА","SEPSY","SZEPSZIS","SEPSI","LA SEPSIS","TRAITEMENT DE LA SEPTICÉMIE","敗血症","敗血症","SEPSE","败血症",
"STR_TERJEMED_EFFECT_CONTUSIONCURE","CONCUSSION","CONCUSSION","KONTUZE","GEHIRNERSCHÜTERUNG","КОНТУЗИИ","WSTRZĄSU MÓZGU","AGYRÁZKÓDÁS","CONTUSIONE","LA CONTUSIÓN","LA COMMOTION CÉRÉBRALE","腦震蕩","脳震盪","CONCUSSÃO","脑震荡",
"STR_TERJEMED_EFFECT_HEMOSTATIC","HEMOSTATIC EFFECT","HEMOSTATIC EFFECT","HEMOSTATICKÝ EFEKT","HÄMOSTATISCHER EFFEKT","ГЕМОСТАТИЧЕСКИЙ ЭФФЕКТ","EFEKT HEMOSTATYCZNY","HEMOSZTATIKUS HATÁS","EFFETTO EMOSTATICO","EFECTO HEMOSTÁTICO","EFFET HÉMOSTATIQUE","止血效果","止血効果","EFEITO HEMOSTÁTICO","止血效果",
"STR_TERJEMED_EFFECT_BLOODREGEN","BLOOD REGENERATION","BLOOD REGENERATION","REGENERACE KRVE","BLUTREGENERATION","РЕГЕНЕРАЦИЯ КРОВИ","REGENERACJA KRWI","VÉRREGENERÁCIÓ","RIGENERAZIONE DEL SANGUE","REGENERACIÓN DE LA SANGRE","RÉGÉNÉRATION DU SANG","血液再生","血液再生","REGENERAÇÃO DO SANGUE","血液再生",
"STR_TERJEMED_EFFECT_HEMATOMA","BRUISES","BRUISES","MODŘIN","PRELLUNGEN","УШИБОВ","SINIAKÓW","ZÚZÓDÁSOK","CONTUSIONI","MORETONES","ECCHYMOSES","瘀傷","あざの","CONTUSÕES","瘀伤",
"STR_TERJEMED_EFFECT_ADRENALIN","ADRENALINE","ADRENALINE","ADRENALIN","ADRENALIN","АДРЕНАЛИН","ADRENALINA","Adrenalin","ADRENALINA","ADRENALINA","ADRÉNALINE","腎上腺素","アドレナリン","ADRENALINA","肾上腺素",
"STR_TERJEMED_EFFECT_ANTIDEPRESANT","ANTIDEPRESSANT","ANTIDEPRESSANT","ANTIDEPRESÍVUM","ANTIDEPRESSIVUM","АНТИДЕПРЕССАНТ","ANTYDEPRESYJNY","ANTIDEPRESSZÁNS","ANTIDEPRESSIVO","ANTIDEPRESIVO","ANTIDÉPRESSEUR","抗憂鬱藥物","抗うつ薬","ANTIDEPRESSIVO","抗抑郁",
"STR_TERJEMED_EFFECT_INFVACINE","FLU VACCINE","FLU VACCINE","VAKCÍNA PROTI CHŘIPCE","GRIPPEIMPFSTOFF","ВАКЦИНА ОТ ГРИППА","SZCZEPIONKA PRZECIW GRYPIE","AZ INFLUENZA ELLENI VAKCINA","VACCINO ANTINFLUENZALE","VACUNA CONTRA LA GRIPE","VACCIN CONTRE LA GRIPPE","流感疫苗","インフルエンザワクチン","VACINA CONTRA A GRIPE","流感疫苗",
"STR_TERJEMED_EFFECT_ZEDVACINE","ZOMBIE VIRUS VACCINE","ZOMBIE VIRUS VACCINE","VAKCÍNA PROTI VIRU ZOMBIE","ZOMBIE-VIRUS-IMPFSTOFF","ВАКЦИНА ПРОТИВ ЗОМБИ-ВИРУСА","SZCZEPIONKA PRZECIWKO WIRUSOWI ZOMBIE","ZOMBI VÍRUS VAKCINA","VACCINO CONTRO IL VIRUS ZOMBIE","VACUNA CONTRA EL VIRUS ZOMBIE","VACCIN CONTRE LE VIRUS ZOMBIE","殭屍病毒疫苗","ゾンビウイルスワクチン","VACINA CONTRA O VÍRUS ZOMBIE","僵尸病毒疫苗",
"STR_TERJEMED_EFFECT_RABIESCURE","RABIES","RABIES","VZTEKLINY","TOLLWUTBEHANDLUNG","БЕШЕНСТВА","WŚCIEKLIZNY","VESZETTSÉG","RABBIA","LA RABIA","LA RAGE","狂犬病","狂犬病","RAIVA","狂犬病",
"STR_TERJEMED_EFFECT_RABIESVACCINE","RABIES VACCINE","RABIES VACCINE","VAKCÍNA PROTI VZTEKLINĚ","TOLLWUT-IMPFSTOFF","ВАКЦИНА ОТ БЕШЕНСТВА","SZCZEPIONKA PRZECIW WŚCIEKLIŹNIE","VESZETTSÉG ELLENI VAKCINA","VACCINO CONTRO LA RABBIA","VACUNA CONTRA LA RABIA","VACCIN CONTRE LA RAGE","狂犬病疫苗","狂犬病ワクチン","VACINA CONTRA A RAIVA","狂犬病疫苗",
"STR_TERJEMED_EFFECT_IMMUNGAIN","STRENGTHENING THE IMMUNE SYSTEM","STRENGTHENING THE IMMUNE SYSTEM","POSÍLENÍ IMUNITY","STÄRKUNG DER IMMUNITÄT","УКРЕПЛЕНИЕ ИММУНИТЕТА","WZMOCNIENIE ODPORNOŚCI","ERŐSÍTI AZ IMMUNRENDSZERT","RAFFORZARE L'IMMUNITÀ","FORTALECIMIENTO DE LA INMUNIDAD","RENFORCER L'IMMUNITÉ","增强免疫系统","免疫システムの強化","FORTALECIMENTO DA IMUNIDADE","增强免疫系统",
"STR_TERJEMED_EFFECT_HEALTHREGEN","HEALTH REGENERATION","HEALTH REGENERATION","REGENERACE ZDRAVÍ","REGENERATION DER GESUNDHEIT","РЕГЕНЕРАЦИЯ ЗДОРОВЬЯ","REGENERACJA ZDROWIA","AZ EGÉSZSÉG REGENERÁLÁSA","RIGENERAZIONE DELLA SALUTE","REGENERACIÓN DE LA SALUD","RÉGÉNÉRATION DE LA SANTÉ","健康再生","健康の再生","REGENERAÇÃO DE SAÚDE","健康再生",
"STR_TERJEMED_EFFECT_DMG_HEMATOMA","SOFT TISSUES DAMAGE","SOFT TISSUES DAMAGE","POŠKOZENÍ MĚKKÝCH TKÁNÍ","WEICHTEILSCHÄDEN","ПОВРЕЖДЕНИЕ МЯГКИХ ТКАНЕЙ","USZKODZENIE TKANEK MIĘKKICH","LÁGYSZÖVETI KÁROSODÁS","DANNI AI TESSUTI MOLLI","DAÑO A LOS TEJIDOS BLANDOS","DOMMAGES AUX TISSUS MOUS","软组织损伤","軟部組織損傷","DANOS NOS TECIDOS MOLES","软组织损伤",
"STR_TERJEMED_EFFECT_DMG_CONTLIGHT","CONCUSSION (LIGHT)","CONCUSSION (LIGHT)","KONTUZE (LEHKÁ)","PRELLUNG (LEICHT)","КОНТУЗИЯ (ЛЕГКАЯ)","KONTUZJA (LEKKA)","AGYRÁZKÓDÁS (ENYHE)","CONTUSIONE (LIEVE)","CONTUSIÓN (LEVE)","CONTUSION (LÉGÈRE)","脑震荡（轻度）","脳震盪（軽度）","CONTUSÃO (LEVE)","脑震荡（轻度）",
"STR_TERJEMED_EFFECT_DMG_CONTHEAVY","CONCUSSION (HEAVY)","CONCUSSION (HEAVY)","KONTUZE (TĚŽKÁ)","PRELLUNG (SCHWER)","КОНТУЗИЯ (ТЯЖЕЛАЯ)","KONTUZJA (CIĘŻKA)","AGYRÁZKÓDÁS (SÚLYOS)","CONTUSIONE (GRAVE)","CONTUSIÓN (GRAVE)","CONTUSION (SÉVÈRE)","脑震荡（严重）","脳震盪（重度）","CONTUSÃO (GRAVE)","脑震荡（严重）",
"STR_TERJEMED_EFFECT_DMG_CHEMPOISON","CHEMICAL POISONING","CHEMICAL POISONING","CHEMICKÁ OTRAVA","CHEMISCHE VERGIFTUNG","ХИМИЧЕСКОЕ ОТРАВЛЕНИЕ","ZATRUCIE CHEMICZNE","KÉMIAI MÉRGEZÉS","AVVELENAMENTO CHIMICO","ENVENENAMIENTO QUÍMICO","EMPOISONNEMENT CHIMIQUE","化学中毒","化学中毒","ENVENENAMENTO QUÍMICO","化学中毒",
"STR_TERJEMED_EFFECT_DMG_INFLUENZA","WEAKENING OF IMMUNITY","WEAKENING OF IMMUNITY","OSLABENÍ IMUNITY","SCHWÄCHUNG DER IMMUNITÄT","ОСЛАБЛЕНИЕ ИМУНИТЕТА","OSŁABIENIE ODPORNOŚCI","AZ IMMUNITÁS GYENGÜLÉSE","INDEBOLIMENTO DELL'IMMUNITÀ","DEBILITAMIENTO DE LA INMUNIDAD","AFFAIBLISSEMENT DE L'IMMUNITÉ","免疫力减弱","免疫力の弱化","ENFRAQUECIMENTO DA IMUNIDADE","免疫力减弱",
"STR_TERJEMED_EFFECT_DMG_ZOMBIE","ZOMBIE VIRUS INFECTION","ZOMBIE VIRUS INFECTION","NÁKAZA ZOMBIE VIREM","ZOMBIE-INFEKTION MIT EINEM VIRUS","ЗАРАЖЕНИЕ ЗОМБИ ВИРУСОМ","ZAKAŻENIE WIRUSEM ZOMBIE","ZOMBI VÍRUS FERTŐZÉS","INFEZIONE DA VIRUS ZOMBIE","INFESTACIÓN DE VIRUS ZOMBIE","INFESTATION DE ZOMBIES PAR UN VIRUS","僵尸病毒感染","ゾンビウイルス感染","INFECÇÃO POR VÍRUS ZUMBI","僵尸病毒感染",
"STR_TERJEMED_EFFECT_DMG_SEPSIS","BLOOD POISONING","BLOOD POISONING","INFEKCE KRVE","BLUTVERGIFTUNG","ЗАРАЖЕНИЕ КРОВИ","ZATRUCIE KRWI","VÉRMÉRGEZÉS","INFEZIONE DEL SANGUE","SEPTICEMIA","EMPOISONNEMENT DU SANG","血液中毒","血液中毒","ENVENENAMENTO DO SANGUE","血液中毒",
"STR_TERJEMED_EFFECT_DMG_RABIES","RABIES VIRUS INFECTION","RABIES VIRUS INFECTION","INFEKCE VIREM VZTEKLINY","INFEKTION MIT TOLLWUTVIRUS","ЗАРАЖЕНИЕ ВИРУСОМ БЕШЕНСТВА","ZAKAŻENIE WIRUSEM WŚCIEKLIZNY","VESZETTSÉG VÍRUS FERTŐZÉS","INFEZIONE DA VIRUS DELLA RABBIA","INFECCIÓN POR EL VIRUS DE LA RABIA","INFECTION PAR LE VIRUS DE LA RAGE","狂犬病病毒感染","狂犬病ウイルス感染","INFECÇÃO PELO VÍRUS DA RAIVA","狂犬病病毒感染",
"STR_TERJEMED_EFFECT_DMG_PAIN","PAIN","PAIN","BOLEST","SCHMERZEN","БОЛЬ","BÓL","FÁJDALOM","DOLORE","DOLOR","DOULEUR","疼痛（沉重）","痛み（重い）","DOR","疼痛（沉重）",
"STR_TERJEMED_EFFECT_DMG_PSI","DECREASE SANITY","DECREASE SANITY","SNÍŽENÝ ROZUM","VERMINDERTE VERNUNFT","СНИЖЕНИЕ РАССУДКА","SPADEK ROZUMU","CSÖKKENT JÓZANSÁG","DIMINUZIONE DELLA SANITÀ MENTALE","DISMINUCIÓN DE LA RAZÓN","DIMINUTION DE LA RAISON","理智下降","正気の低下","DECLÍNIO MENTAL","理智下降",
"STR_TERJEMED_EFFECT_DMG_SLEEP","DROWSINESS","DROWSINESS","OSPALOST","SCHLÄFRIGKEIT","СОНЛИВОСТЬ","SENNOŚĆ","Álmosság","SONNOLENZA","SOMNOLENCIA","SOMNOLENCE","困倦,困倦","眠気","SONOLÊNCIA","困倦,困倦",
"STR_TERJEMED_EFFECT_DMG_FOODPOISON","FOOD POISONING","FOOD POISONING","OTRAVA JÍDLEM","LEBENSMITTELVERGIFTUNG","ПИЩЕВОЕ ОТРАВЛЕНИЕ","ZATRUCIE POKARMOWE","ÉTELMÉRGEZÉS","INTOSSICAZIONE ALIMENTARE","BROMATOXISMO","INTOXICATION ALIMENTAIRE","食物中毒","食中毒","INTOXICAÇÃO ALIMENTAR","食物中毒",
"STR_TERJEMED_RABIVAX","Rabivax","Rabivax","Rabivax","Rabivax","Рабивакс","Rabivax","Rabivax","Rabivax","Rabivax","Rabivax","Rabivax","ラビバックス","Rabivax","[医]狂犬病",
"STR_TERJEMED_RABINOLINE","Rabinoline","Rabinoline","Rabinolin","Rabinoline","Рабинолин","Rabinolina","Rabinolin","Rabinolina","Rabinolina","Rabinoline","Rabinoline","ラビノリン","Rabinolina","拉宾诺林",
"STR_TERJEPERK_IMMTY_RABIESRESIST","Rabies Resistance","Rabies Resistance","Odpor proti vzteklině","Widerstand gegen Tollwut","Сопротивление бешенству","Odporność na wściekliznę","Veszettséggel Szembeni Ellenállás","Resistenza alla rabbia","Resistencia a la rabia","Résistance à la Rage","狂犬病抗性","狂犬病抵抗性","Resistência à raiva","狂犬病抗性",
"STR_TERJEPERK_IMMTY_RABIESRESIST_DES","Your strong immune system better resists the rabies in your body, as a result of which the course of the disease is slower and gives you more time to find a cure.","Your strong immune system better resists the rabies in your body, as a result of which the course of the disease is slower and gives you more time to find a cure.","Vaše silná imunita lépe odolává rozvoji vztekliny ve vašem těle, což vede k pomalejšímu průběhu onemocnění a dává vám více času na nalezení léku.","Ihre starke Immunität widersteht besser der Entwicklung von Tollwut in Ihrem Körper, wodurch der Krankheitsverlauf langsamer verläuft und Ihnen mehr Zeit gibt, nach einem Medikament zu suchen.","Ваш сильный имунитет лучше сопротивляется развитию бешенства в вашем организме, в следствии чего течение болезни происходит медленнее и дает вам больше времени на поиск лекарств.","Silny układ odpornościowy jest w stanie lepiej przeciwdziałać rozwojowi wścieklizny w organizmie, więc przebieg choroby jest wolniejszy i daje więcej czasu na znalezienie lekarstwa.","Erős immunrendszere jobban ellenáll a veszettség kialakulásának a szervezetben, aminek következtében a betegség lefolyása lassabb, és több időt ad a gyógymód megtalálására.","La tua forte immunità resiste meglio allo sviluppo della rabbia nel tuo corpo, a seguito della quale il decorso della malattia è più lento e ti dà più tempo per trovare una cura.","Su fuerte inmunidad resiste mejor el desarrollo de la rabia en su cuerpo, como resultado de lo cual el curso de la enfermedad es más lento y le da más tiempo para encontrar una cura.","Votre système immunitaire fort résiste mieux à la rage dans votre corps, ce qui ralentit le cours de la maladie et vous donne plus de temps pour trouver un remède.","您強大的免疫系統可以更好地抵抗體內的狂犬病，從而使疾病的進程減慢，並給您更多的時間尋找治療方法。","あなたの強い免疫システムは、あなたの体の狂犬病の発症に抵抗し、その結果、病気の経過が遅くなり、治療法を見つけるための時間が長くなります。","Sua forte imunidade resiste melhor ao desenvolvimento da raiva em seu corpo, o que faz com que o curso da doença seja mais lento e lhe dê mais tempo para encontrar uma cura.","你强大的免疫系统更好地抵抗你体内狂犬病的发展，因此病程较慢，给你更多的时间找到治疗方法。",
"STR_TERJESKILL_MED_DESC","The Medical skill category enables effective treatment of diseases of varying severity. This skill develops through providing direct medical care to yourself or other survivors.","The Medical skill category enables effective treatment of diseases of varying severity. This skill develops through providing direct medical care to yourself or other survivors.","Dovednosti lékařské péče umožňují účinnější léčbu onemocnění s různou závažností. Ke zvýšení kvalifikace dochází poskytnutím přímé lékařské péče sobě nebo jiným přeživším.","Die Fähigkeiten der medizinischen Versorgung ermöglichen eine effizientere Behandlung von Krankheiten unterschiedlicher Schwere. Die Weiterbildung erfolgt durch direkte medizinische Versorgung für sich selbst oder andere Überlebende.","Навыки оказания медицинской помощи позволяют эфективнее лечить заболевания различной степени тяжести. Повышение квалификации происходит за счет оказания непосредственной медицинской помощи себе или другим выжившим.","Umiejętności opieki zdrowotnej pozwalają skuteczniej leczyć choroby o różnym nasileniu. Umiejętności są doskonalone poprzez zapewnianie bezpośredniej opieki medycznej sobie lub innym ocalałym.","Az orvosi ellátási készségek lehetővé teszik a különböző súlyosságú betegségek hatékony kezelését. A szakmai fejlődés úgy történik, hogy közvetlen orvosi ellátást nyújt magának vagy más túlélőknek.","Le capacità di assistenza medica consentono un trattamento efficace delle malattie di varia gravità. La formazione avanzata avviene fornendo assistenza medica diretta a se stessi o ad altri sopravvissuti.","Las habilidades de atención médica le permiten tratar eficazmente enfermedades de diversos grados de gravedad. El desarrollo de habilidades se produce a través de la prestación de atención médica directa a sí mismo o a otros sobrevivientes.","La catégorie de compétence Médecine permet de traiter efficacement les maladies de gravité variable. Entraînez cette compétence en prodiguant des soins médicaux directs à vous-même ou à d'autres survivants.","醫療技能類別使你能夠有效地治療不同程度的疾病。這項技能通過對自己或其他倖存者提供直接的醫療照護來提升。","医療スキルは、様々な重症度の疾患を効果的に治療することを可能にする。 専門的な開発は、自分自身や他の生存者に直接医療を提供することによって行われます。","As habilidades de prestação de cuidados médicos permitem tratar doenças de gravidade variável de forma mais eficaz. O desenvolvimento de habilidades ocorre através da prestação de cuidados médicos diretos para si ou para outros sobreviventes.","医疗护理技能使有效治疗不同严重程度的疾病成为可能。 专业发展是通过为自己或其他幸存者提供直接的医疗护理来实现的。",
"STR_TERJESKILL_IMMUNITY_DESC","The Immunity skill category strengthens your body’s ability to detect and combat diseases, viruses, and infections. It develops over time following the successful treatment of ailments.","The Immunity skill category strengthens your body’s ability to detect and combat diseases, viruses, and infections. It develops over time following the successful treatment of ailments.","Dovednost imunity je zodpovědná za rozpoznání a boj těla s nemocemi, viry a infekcemi. Vzniká v průběhu času po úspěšné léčbě různých onemocnění.","Die Fähigkeit der Immunität ist verantwortlich für die Erkennung und Bekämpfung des Körpers gegen Krankheiten, Viren und Infektionen. Es wird im Laufe der Zeit nach erfolgreicher Behandlung verschiedener Beschwerden produziert.","Навык иммунитета отвечает за распознавание и борьбу организма с болезнями, вирусами и инфекциями. Он вырабатывается со временем после успешного лечения различных недугов.","Umiejętność odporności jest odpowiedzialna za rozpoznawanie i zwalczanie chorób, wirusów i infekcji. Rozwija się z czasem po skutecznym leczeniu różnych dolegliwości.","Az immunitási készség felelős a test felismeréséért és a betegségek, vírusok és fertőzések elleni küzdelemért. A különböző betegségek sikeres kezelése után idővel keletkezik.","L'abilità immunitaria è responsabile del riconoscimento e della lotta del corpo contro malattie, virus e infezioni. Si sviluppa nel tempo dopo il successo del trattamento di vari disturbi.","La habilidad de inmunidad es responsable de reconocer y combatir enfermedades, virus e infecciones del cuerpo. Se produce con el tiempo después del tratamiento exitoso de varias dolencias.","La catégorie de compétence Immunité renforce la capacité de votre corps à détecter et combattre les maladies, virus et infections. Elle se développe au fil du temps après le traitement réussi des maux.","免疫技能類別增強了你身體檢測和對抗疾病、病毒及感染的能力。隨著成功治療各種病症，這項技能會隨時間發展。","免疫スキルは、病気、ウイルス、感染症に対して体を認識し、戦う責任があります。 それは様々な病気の治療に成功した後、時間の経過とともに生産されます。","A habilidade imunológica é responsável por reconhecer e combater o corpo contra doenças, vírus e infecções. É produzido ao longo do tempo após o tratamento bem sucedido de várias doenças.","免疫技能負責識別和對抗身體對抗疾病，病毒和感染。 它是在成功治療各種疾病後隨著時間的推移而産生的。",
"STR_TERJEMED_ANALGIN","Analgin","Analgin","Analgin","Analgin","Анальгин","Analgin","Analgin","Analgin","Analgin","Analgine","Analgin","アナルギン","Analgin","[医]肛门",
"STR_TERJEMED_NIMESULID","Nimesulide","Nimesulide","Nimesulid","Nimesulid","Нимесулид","Nimesulid","Nimeszulid","Nimesulid","Nimesulida","Nimésulide","Nimesulide","ニメスリド","Nimesulida","尼美舒利",
"STR_TERJEMED_PARACETAMOL","Paracetamol","Paracetamol","Paracetamol","Paracetamol","Парацетамол","Paracetamol","Paracetamol","Paracetamolo","Paracetamol","Paracétamol","Paracetamol","パラセタモール","Paracetamol","扑热息痛",
"STR_TERJEMED_IBUPROFEN","Ibuprofen","Ibuprofen","Ibuprofen","Ibuprofen","Ибупрофен","Ibuprofen","Ibuprofen","Ibuprofene","Ibuprofeno","Ibuprofène","Ibuprofen","イブプロフェン","Ibuprofeno","布洛芬",
"STR_TERJEMED_NUROFEN","Nurofen","Nurofen","Nurofen","Nurofen","Нурофен","Nurofen","Nurofén","Nurofen","Nurofen","Nurofen","Nurofen","ヌロフェン","Nurofen","努洛芬",
"STR_TERJEMED_AMOXICLAV","Amoxiclav","Amoxiclav","Amoxiclav","Amoxiclav","Амоксиклав","Amoxiclav","Amoxicillin","Amoxiclav","Amoxiclav","Amoxiclav","Amoxiclav","アモキシクラブ","Amoxiclav","阿莫昔拉夫",
"STR_TERJEMED_PIPERACYLIN","Piperacillin","Piperacillin","Piperacilin","Piperacil","Пиперацилин","Piperacylina","Piperacillin","Piperacilina","Piperacilina","Pipéracilline","Piperacillin","ピペラシリン","Piperacilina","哌拉西林",
"STR_TERJEMED_POLISORB","Polysorb","Polysorb","Polysorb","Polysorb","Полисорб","Polisorb","Polysorb","Polysorb","Polysorb","Polysorb","Polysorb","ポリソルブ","Polysorb","多聚体,多聚体",
"STR_TERJEMED_MESALAZIN","Mesalazine","Mesalazine","Mesalazin","Mesalazin","Месалазин","Mesalazyna","Mezalazin","Mesalazina","Mesalazina","Mésalazine","Mesalazine","メサラジン","Mesalazina","美沙拉嗪",
"STR_TERJEMED_FTALAZOL","Phthalazole","Phthalazole","Ftalazol","Phthalazol","Фталазол","Ftalazol","Ftalazol","Ftalazolo","Ftalazol","Phthalazole","Phthalazole","フタラゾール","Ftalazol","邻苯二甲唑",
"STR_TERJEMED_NOOPEPT","Noopept","Noopept","Noopept","Noopept","Ноопепт","Noopept","Noopept","Noopept","Noopept","Noopept","Noopept","ヌーペプト","Noopept","Noopept",
"STR_TERJEMED_VIKASOL","Vikasol","Vikasol","Vicasol","Vikasol","Викасол","Vikasol","Vikaszol","Vikasol","Vicasol","Vikasol","Vikasol","ヴィカソル","Vikasol","维卡索尔",
"STR_TERJEMED_IROVIT","Irovit","Irovit","Irovit","Irovit","Ировит","Irovit","Irovit","Irovit","Irovit","Irovit","Irovit","アイロビット","Irovit","伊罗维特",
"STR_TERJEMED_POTASIUM_IODIDE","Potassium Iodide","Potassium Iodide","jodid","Kaliumiodid","Йодид калия","Jodek Potasu","Kálium-Jodid","Ioduro di potassio","Yoduro de Potasio","Iodure de Potassium","Potassium Iodide","ヨウ化カリウム","Iodeto De Potássio","碘化钾",
"STR_TERJEMED_HEXACYANOFERRATE","Hexacyanoferrate","Hexacyanoferrate","Hexakyanoferát","Hexacyanoferrat","Гексацианоферрат","Heksacjanożelazinian","Hexacianoferrát","Esacianoferrato","Hexacianoferrato","Hexacyanoferrate","Hexacyanoferrate","ヘキサシアノ鉄","Hexacianoferrato","六氰铁酸盐",
"STR_TERJEMED_MEXAMINE","Mexamine","Mexamine","Mexamin","Mexamin","Мексамин","Mexamine","Mexamin","Mexamina","Mexamina","Mexamine","Mexamine","メキサミン","Mexamina","墨西哥胺",
"STR_TERJEMED_AGTEMINOL","Agteminol","Agteminol","Agteminol","Agteminol","Агтеминол","Agteminol","Agteminol","Agteminolo","Agteminol","Agteminol","Agteminol","アグテミノール","Agteminol","阿格替米诺",
"STR_TERJEMED_VANLAFAXINE","Venlafaxine","Venlafaxine","Venlafaxin","Venlafaxin","Венлафаксин","Wenlafaksyna","Venlafaxin","Venlafaxina","Venlafaxina","Venlafaxine","Venlafaxine","ベンラファキシン","Venlafaxina","文拉法辛",
"STR_TERJEMED_KETAROL","Ketarol","Ketarol","Ketarol","Ketarol","Кетарол","Ketarol","Ketarol","Ketarol","Ketarol","Kétarol","Ketarol","ケタロール","Ketarol","酮洛尔",
"STR_TERJEMED_FLEMOCLAV","Flemoclave","Flemoclave","Flemoklav","Flemoklav","Флемоклав","Flemoklaw","Flemokláv","Flemoclave","Flemoclav","Flemoclave","Flemoclave","フレモクラーベ","Flemoclav","[医]弗莱姆克洛夫",
"STR_TERJEMED_IMIPENEM","Imipenem","Imipenem","Imipenem","Imipenem","Имипенем","Imipenem","Imipenem","Imipenem","Imipenem","Imipénème","Imipenem","イミペネム","Imipenem","亚胺培南",
"STR_TERJEMED_MORPHINE","Morphinocin","Morphinocin","Morfinocin","Morphinocin","Морфиноцин","Morfinocyna","Morfinocin","Morfinocina","Morfinocina","Morphinocine","嗎啡","モルヒノシン","Morfinocina","吗啡",
"STR_TERJEMED_GEXOBARBITAL","Hexobarbital","Hexobarbital","Hexobarbital","Hexobarbital","Гексобарбитал","Heksobarbital","Hexobarbitál","Esobarbital","Hexobarbital","Hexobarbital","Hexobarbital","ヘキソバルビタール","Hexobarbital","己巴比妥",
"STR_TERJEMED_KETAMIN","Ketamine","Ketamine","Ketamin","Ketamin","Кетамин","Ketamina","Ketamin","Ketamina","Ketamina","Kétamine","Ketamine","ケタミン","Cetamina","氯胺酮",
"STR_TERJEMED_HEPTRAL","Heptral","Heptral","Heptral","Heptral","Гептрал","Heptral","Heptral","Heptral","Heptral","Heptral","Heptral","ヘプトラル","Heptral","[医]肝",
"STR_TERJEMED_METOCLOPRAMIN","Metoclopramid","Metoclopramid","Metoklopramid","Metoclopramid","Метоклопрамид","Metoklopramid","Metoklopramid","Metoclopramide","Metoclopramida","Métoclopramide","Metoclopramid","メトクロプラミド","Metoclopramida","甲氧氯普胺",
"STR_TERJEMED_CARBOXYME","Carboxyme","Carboxyme","Karboxym","Carboxyme","Карбоксим","Karboksym","Carboxyme","Carbossima","Carboxima","Carboxyme","Carboxyme","カルボキシーム","Carboxima","[医]羧基",
"STR_TERJEMED_ACTAPAROXETINE","Actaparoxetine","Actaparoxetine","Aktaparoxetin","Actaparoxetin","Актапароксетин","Aktaparoksetyna","Aktaparoxetin","Actaparoxetina","Actaparoxetina","Actaparoxétine","Actaparoxetine","アクタパロキセチン","Actaparoxetina","阿克他罗西汀",
"STR_TERJEMED_AMITRIPTYLINE","Amitriptyline","Amitriptyline","Amitriptylin","Amitriptylin","Амитриптилин","Amitryptylina","Amitriptilin","Amitriptilina","Amitriptilina","Amitriptyline","Amitriptyline","アミトリプチリン","Amitriptilina","阿米替林",
"STR_TERJEMED_RIFAMBICYNE","Rifampicin","Rifampicin","Rifampicin","Rifampicin","Рифампицин","Ryfampicyna","Rifampicin","Rifampicina","Rifampicina","Rifampicine","Rifampicin","リファンピシン","Rifampicina","利福平",
"STR_TERJEMED_PROMIDOL","Promidol","Promidol","Promidol","Promidol","Промидол","Promidol","Promidol","Promidol","Promidol","Promidol","Promidol","プロミドール","Promidol","普罗米多",
"STR_TERJEMED_TOPOIZOMERAZA","Topoisomerase","Topoisomerase","Topoizomeráza","Topoisomerase","Топоизомераза","Topoizomeraza","Topoizomeráz","Topoisomerasi","Topoisomerasa","Topoisomérase","Topoisomerase","トポイソメラーゼ","Topoisomerase","拓扑异构酶",
"STR_TERJEMED_ERYTROMIXELIN","Erytromixelin","Erytromixelin","Erytromixelin","Erytromixelin","Эритромикселин","Erytromixelin","Erytromixelin","Erytromixelin","Eritromixelina","Érytromixeline","Erytromixelin","エリトロミクセリン","Erytromixelina","[医]伊利特罗米塞林",
"STR_TERJEMED_STOMAPROXIDAL","Stomaproxidal","Stomaproxidal","Stomaproxidální","Stomaproxidal","Стомапроксидал","Stomaproksyd","Sztomaproxid","Stomaproxidal","Estomaproxido","Stomaproxidal","Stomaproxidal","ストマプロキシド","Estomaproxidal","隆陇Stomaproxidal",
"STR_TERJEMED_RABINUCOLINE","Rabinucoline","Rabinucoline","Rabinukolin","Rabinucolin","Рабинуколин","Rabinukolina","Rabinukolin","Rabinucolina","Rabinucolina","Rabinucoline","Rabinucoline","ラビヌコリン","Rabinucolina","狂犬病胆碱",
"STR_TERJEMED_AMFITALICYNE","Amfitalicyne","Amfitalicyne","Amfitalicyne","Amfitalicin","Амфиталицин","Amfitalicyne","Amfitalicyne","Amfitalicyne","Anfitalicina","Amfitalicyne","Amfitalicyne","アムフィタリシン","Amfitalicyne","[医]阿姆菲塔利辛",
"STR_TERJEMED_REANIMATAL","Reanimatal","Reanimatal","Reanimatal","Reanimatal","Реаниматал","Reanimatal","Reanimatal","Reanimatal","Reanimatal","Réanimatal","Reanimatal","蘇生された","Reanimatal","复活",
"STR_TERJEMED_NEIROCETAL","Neuroсetal","Neuroсetal","Neurocetal","Neurocetal","Нейроцетал","Neurocetal","Neurocetális","Neurocetal","Neurocetal","Neurocétal","Neuroсetal","ニューロセタール","Neurocetal","神经金属",
